Date,Rate,Infl,Running Rate,Real Rent,Real Change Since 01/31/2015
01/31/15,1418.891001,0.2,0.998,1416.053219,0%
02/28/15,1426.111814,0.3,0.995006,1418.989812,0%
03/31/15,1436.760649,0.4,0.991025976,1423.867125,1%
04/30/15,1446.453042,0.3,0.988052898,1429.17212,1%
05/31/15,1457.827846,0.1,0.987064845,1438.970617,2%
06/30/15,1466.457818,0.1,0.98607778,1446.04147,2%
07/31/15,1471.452958,0,0.98607778,1450.967067,2%
08/31/15,1473.281311,0.1,0.985091703,1451.317195,2%
09/30/15,1468.22104,0.3,0.982136427,1441.993367,2%
10/31/15,1461.38847,0.3,0.979190018,1430.977003,1%
11/30/15,1455.67682,0,0.979190018,1425.384212,1%
12/31/15,1455.826607,-0.1,0.980169208,1426.956413,1%
01/31/16,1463.917454,0.3,0.977228701,1430.582151,1%
02/29/16,1472.341728,0.5,0.972342557,1431.62052,1%
03/31/16,1484.262393,0.3,0.969425529,1438.881856,2%
04/30/16,1492.417428,0.3,0.966517253,1442.447193,2%
05/31/16,1503.005715,0.2,0.964584218,1449.775593,2%
06/30/16,1512.587754,0.1,0.963619634,1457.559258,3%
07/31/16,1519.428565,0,0.963619634,1464.151198,3%
08/31/16,1522.934724,0.2,0.961692395,1464.594742,3%
09/30/16,1515.861609,0.2,0.95976901,1454.876996,3%
10/31/16,1502.708213,0.2,0.957849472,1439.368268,2%
11/30/16,1486.052,0,0.957849472,1423.414123,1%
12/31/16,1475.646702,0,0.957849472,1413.447414,0%
01/31/17,1484.669085,0.4,0.954018074,1416.401142,0%
02/28/17,1501.460759,0.4,0.950202002,1426.691019,1%
03/31/17,1523.204578,0.1,0.9492518,1445.904687,2%
04/30/17,1534.649557,0.1,0.948302548,1455.312085,3%
05/31/17,1546.135324,0.1,0.947354245,1464.737863,3%
06/30/17,1551.899929,0.1,0.946406891,1468.728787,4%
07/31/17,1553.670325,0,0.946406891,1470.404302,4%
08/31/17,1548.721649,0.2,0.944514077,1462.7894,3%
09/30/17,1542.051926,0.2,0.942625049,1453.576773,3%
10/31/17,1531.496575,0.3,0.939797174,1439.296153,2%
11/30/17,1524.81601,-0.1,0.940736971,1434.450795,1%
12/31/17,1523.42435,0,0.940736971,1433.141609,1%
01/31/18,1531.523235,0.4,0.936974023,1434.997487,1%
02/28/18,1543.275869,0.4,0.933226127,1440.225362,2%
03/31/18,1555.83744,0.3,0.930426449,1447.592305,2%
04/30/18,1567.398612,0.2,0.928565596,1455.432427,3%
05/31/18,1577.199273,0.2,0.926708465,1461.603917,3%
06/30/18,1586.033238,0.1,0.925781756,1468.320637,4%
07/31/18,1589.789519,0.1,0.924855975,1470.326335,4%
08/31/18,1586.835142,0.1,0.923931119,1466.126368,4%
09/30/18,1576.559006,0.2,0.922083256,1453.718662,3%
10/31/18,1565.500761,0.2,0.92023909,1440.634996,2%
11/30/18,1559.79893,0,0.92023909,1435.387947,1%
12/31/18,1560.952933,0,0.92023909,1436.449906,1%
01/31/19,1570.027147,0.4,0.916558134,1439.021151,2%
02/28/19,1580.209251,0.4,0.912891901,1442.560227,2%
03/31/19,1595.450002,0.3,0.910153225,1452.103965,3%
04/30/19,1608.536048,0.2,0.908332919,1461.086243,3%
05/31/19,1620.349294,0.1,0.907424586,1470.344787,4%
06/30/19,1627.725062,0.2,0.905609737,1474.083665,4%
07/31/19,1630.535335,0.1,0.904704127,1475.152047,4%
08/31/19,1630.900399,0.2,0.902894719,1472.531357,4%
09/30/19,1626.286557,0.1,0.901991824,1466.897178,4%
10/31/19,1619.25762,0.2,0.90018784,1457.63602,3%
11/30/19,1611.737592,0,0.90018784,1450.866582,2%
12/31/19,1607.087154,-0.1,0.901088028,1448.126995,2%
01/31/20,1616.230913,0.4,0.897483676,1450.540861,2%
02/29/20,1628.337678,0.5,0.892996258,1454.099453,3%
03/31/20,1642.718962,0,0.892996258,1466.941886,4%
04/30/20,1643.440206,-0.5,0.897461239,1474.923884,4%
05/31/20,1641.974871,-0.1,0.8983587,1475.082411,4%
06/30/20,1638.614238,0.2,0.896561983,1469.11923,4%
07/31/20,1637.602005,0.5,0.892079173,1460.870643,3%
08/31/20,1631.490724,0.4,0.888510856,1449.59722,2%
09/30/20,1617.265199,0.1,0.887622345,1435.520729,1%
10/31/20,1597.547027,0.1,0.886734723,1416.60042,0%
11/30/20,1582.659663,0.1,0.885847988,1401.995878,-1%
12/31/20,1574.38331,-0.1,0.886733836,1396.058952,-1%
01/31/21,1573.328675,0.2,0.884960369,1392.333525,-2%
02/28/21,1580.225019,0.3,0.882305488,1394.241206,-2%
03/31/21,1598.247242,0.4,0.878776266,1404.501743,-1%
04/30/21,1625.667114,0.8,0.871746055,1417.168894,0%
05/31/21,1653.879999,0.7,0.865643833,1431.671022,1%
06/30/21,1677.902855,0.8,0.858718682,1440.846529,2%
07/31/21,1696.853753,0.3,0.856142526,1452.748659,3%
08/31/21,1709.862139,0.1,0.855286384,1462.421806,3%
09/30/21,1717.379072,0.1,0.854431097,1467.382086,4%
10/31/21,1718.021395,0.6,0.849304511,1459.123321,3%
11/30/21,1718.860304,0.4,0.845907293,1453.996467,3%
12/31/21,1725.442519,0.4,0.842523664,1453.726152,3%
01/31/22,1739.521813,0.7,0.836625998,1455.329173,3%
02/28/22,1756.95084,0.7,0.830769616,1459.621375,3%
03/31/22,1777.270716,0.4,0.827446538,1470.5965,4%
04/30/22,1800.123214,0.5,0.823309305,1482.058192,5%
05/31/22,1824.893213,0.6,0.818369449,1493.436853,5%
06/30/22,1844.64124,0.7,0.812640863,1499.030849,6%
07/31/22,1861.787646,0.3,0.81020294,1508.425825,7%
08/31/22,1869.25308,0.5,0.806151926,1506.90197,6%
09/30/22,1871.94615,0.4,0.802927318,1503.036701,6%
10/31/22,1869.805484,0.3,0.800518536,1496.813948,6%
11/30/22,1864.677907,0.1,0.799718017,1491.216519,5%
12/31/22,1865.261952,0.2,0.798118581,1488.700223,5%
01/31/23,1871.407106,0.6,0.79332987,1484.643156,5%
02/28/23,1884.801955,0.7,0.787776561,1484.802802,5%
03/31/23,1900.604509,0.5,0.783837678,1489.765425,5%
04/30/23,1917.84135,0.5,0.77991849,1495.759929,6%
05/31/23,1940.668194,0.4,0.776798816,1507.508754,6%
06/30/23,1960.576549,0.3,0.774468419,1518.404621,7%
07/31/23,1973.190407,0.2,0.772919482,1525.117308,8%
08/31/23,1980.00881,0.2,0.771373643,1527.32661,8%
09/30/23,1977.675067,0.2,0.769830896,1522.475369,8%
10/31/23,1969.879431,0.2,0.768291234,1513.441099,7%
11/30/23,1962.119747,0.1,0.767522943,1505.971923,6%
12/31/23,1965.432725,0.1,0.76675542,1507.006195,6%
01/31/24,1976.667954,0.6,0.762154888,1506.527142,6%
02/29/24,1991.389194,0.6,0.757581958,1508.640526,7%
